candidate_id,aptitude_test_score,tech_stack_score,high_school_medium,hometown_tier,first_gen_graduate,interview_latency_ms,gap_years,communication_score,ml_prediction_score,hired
CAND-021,71,88,Vernacular,Tier-1,No,41,2,62,93.9,1
CAND-022,84,81,English,Tier-3,No,262,0,81,70.2,1
CAND-023,93,92,Vernacular,Tier-1,No,21,0,81,69.6,0
CAND-024,79,89,English,Tier-2,No,78,0,88,87.1,1
CAND-025,75,94,Vernacular,Tier-1,Yes,11,2,75,78.3,1
CAND-026,72,72,Vernacular,Tier-3,No,280,1,84,81.4,1
CAND-027,93,74,English,Tier-3,Yes,262,0,87,87.0,1
CAND-028,85,88,Vernacular,Tier-2,Yes,140,0,82,92.5,1
CAND-029,71,76,English,Tier-1,No,26,1,87,59.9,0
CAND-030,90,90,Vernacular,Tier-3,No,262,0,59,62.2,0
CAND-031,83,78,Vernacular,Tier-2,No,41,0,73,45.5,0
CAND-032,87,76,English,Tier-3,No,279,0,58,74.1,0
CAND-033,75,87,Vernacular,Tier-3,No,203,0,89,42.1,0
CAND-034,75,73,English,Tier-1,No,32,1,71,67.5,0
CAND-035,88,94,Vernacular,Tier-3,No,278,2,82,72.0,0
CAND-036,85,97,English,Tier-1,No,28,0,84,56.9,0
CAND-037,68,83,English,Tier-3,Yes,275,0,83,74.9,0
CAND-038,72,87,Vernacular,Tier-2,No,41,0,60,41.8,0
CAND-039,88,95,Vernacular,Tier-3,No,202,1,89,42.2,0
CAND-040,67,78,English,Tier-1,Yes,35,1,91,88.5,1
CAND-041,86,95,Vernacular,Tier-1,No,41,1,78,61.3,0
CAND-042,85,90,Vernacular,Tier-2,Yes,109,1,83,47.5,0
CAND-043,66,71,Vernacular,Tier-3,Yes,217,0,85,70.8,0
CAND-044,88,89,English,Tier-3,No,272,0,89,85.4,1
CAND-045,76,97,English,Tier-2,Yes,56,0,87,52.7,0
CAND-046,94,84,English,Tier-3,Yes,187,1,75,76.8,1
CAND-047,70,97,English,Tier-3,Yes,173,0,86,45.0,0
CAND-048,66,76,English,Tier-1,Yes,14,0,77,43.0,0
CAND-049,92,81,English,Tier-3,No,265,0,87,71.3,0
CAND-050,85,77,English,Tier-3,Yes,247,0,57,71.9,0
CAND-051,65,84,English,Tier-2,No,109,0,72,77.6,1
CAND-052,76,72,English,Tier-2,Yes,125,0,79,82.8,1
CAND-053,90,83,Vernacular,Tier-1,Yes,20,0,85,97.6,1
CAND-054,86,86,English,Tier-3,Yes,293,0,57,70.5,0
CAND-055,93,73,Vernacular,Tier-3,Yes,246,0,78,59.1,0
CAND-056,76,87,Vernacular,Tier-3,No,273,0,86,86.9,0
CAND-057,89,77,Vernacular,Tier-1,No,15,1,76,56.0,0
CAND-058,81,73,English,Tier-1,Yes,25,0,77,65.9,0
CAND-059,91,71,English,Tier-2,Yes,132,0,56,44.6,0
CAND-060,91,75,English,Tier-1,No,12,1,81,41.5,0
CAND-061,95,91,English,Tier-3,Yes,297,0,56,96.8,1
CAND-062,74,79,Vernacular,Tier-3,Yes,296,1,80,89.3,0
CAND-063,92,73,English,Tier-1,Yes,35,0,71,81.1,1
CAND-064,92,91,English,Tier-3,No,296,0,87,64.1,1
CAND-065,80,87,English,Tier-3,No,297,0,63,50.2,1
CAND-066,79,95,English,Tier-1,No,41,0,83,49.2,0
CAND-067,94,81,English,Tier-1,Yes,16,0,80,54.8,0
CAND-068,94,71,Vernacular,Tier-3,Yes,201,0,89,72.4,0
CAND-069,79,79,English,Tier-3,No,277,2,79,82.2,1
CAND-070,94,73,Vernacular,Tier-3,No,188,0,78,79.0,1
